Product,Category,Sales,Quantity,Revenue,Date,Region
Laptop,Electronics,50,2,2000,2024-03-10,North
Phone,Electronics,80,5,4000,2024-03-12,South
Headphones,Electronics,40,10,1000,2024-03-15,East
Shirt,Clothing,30,8,600,2024-03-18,West
Jeans,Clothing,25,6,750,2024-03-20,North
Watch,Accessories,20,3,900,2024-03-25,South
Tablet,Electronics,70,4,2800,2024-03-28,West
Camera,Electronics,60,3,3600,2024-03-30,East
Sneakers,Clothing,35,7,1050,2024-04-02,North
Sunglasses,Accessories,15,4,600,2024-04-05,South
Mouse,Electronics,45,9,810,2024-04-08,West
Keyboard,Electronics,55,6,1320,2024-04-10,East
TV,Electronics,90,2,7200,2024-04-12,North
Monitor,Electronics,65,4,2600,2024-04-15,South
Backpack,Accessories,28,5,1400,2024-04-18,West
Hat,Accessories,18,8,360,2024-04-20,East
Desk,Office,75,3,2250,2024-04-23,North
Chair,Office,85,5,4250,2024-04-25,South
Notebook,Stationery,12,20,240,2024-04-28,West
Pen,Stationery,5,50,250,2024-05-01,East
Earbuds,Electronics,48,12,1152,2024-05-03,North
Charger,Electronics,38,15,570,2024-05-06,South
Sweater,Clothing,42,9,1260,2024-05-08,West
Jacket,Clothing,55,7,1925,2024-05-11,East
Belt,Accessories,22,6,660,2024-05-13,North
Shoes,Clothing,50,5,2500,2024-05-16,South
Power Bank,Electronics,44,11,968,2024-05-18,West
Tablet Case,Accessories,30,8,720,2024-05-21,East
Headset,Electronics,58,7,2030,2024-05-23,North
Fan,Home,20,4,800,2024-05-26,South
Blender,Home,35,3,1050,2024-05-28,West
Microwave,Home,95,1,9500,2024-05-31,East
Toaster,Home,32,5,960,2024-06-02,North
Oven,Home,88,2,7040,2024-06-04,South
Speaker,Electronics,60,6,3600,2024-06-07,West
Router,Electronics,54,4,2160,2024-06-09,East
Fitness Tracker,Accessories,25,6,750,2024-06-12,North
Smartwatch,Accessories,65,3,1950,2024-06-14,South
Water Bottle,Home,10,10,100,2024-06-17,West
Towel,Home,15,12,180,2024-06-19,East
Desk Lamp,Office,42,5,2100,2024-06-22,North
Printer,Office,78,2,5460,2024-06-24,South
Projector,Office,88,1,8800,2024-06-26,West
Smartphone,Electronics,95,2,9500,2024-06-28,East
Guitar,Musical,72,3,4320,2024-07-01,North
Piano,Musical,85,1,8500,2024-07-03,South
Drums,Musical,90,2,18000,2024-07-05,West
Violin,Musical,55,3,3300,2024-07-08,East
